ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","389768","[379112.0-400724.0]","142.5","138.4","24.03",
"C50","Breast","65858","[61996.3-69960.2]","48.5","44.0","6.17",
"C53","Cervixuteri","36633","[33763.5-39746.4]","27.0","24.4","3.55",
"C33-34","Lung","34783","[31097.7-38905.0]","12.7","12.8","3.26",
"C18-21","Colorectum","34189","Notavailable","12.5","12.4","-",
"C22","Liver","21392","[18591.8-24614.0]","7.8","7.9","2.07",
"C11","Nasopharynx","19943","[17647.8-22536.7]","7.3","6.8","0.97",
"C82-86, C96","Non-Hodgkinlymphoma","16125","[14039.0-18521.0]","5.9","5.7","1.00",
"C91-95","Leukaemia","14979","[13197.8-17000.5]","5.5","5.6","0.71",
"C56","Ovary","14896","[13116.8-16916.6]","11.0","10.0","1.67",
"C61","Prostate","13563","[11115.3-16549.7]","9.8","11.6","4.01",
"C73","Thyroid","13114","[11296.4-15224.1]","4.8","4.7","1.12",
"C67","Bladder","7828","[6233.7-9830.0]","2.9","2.9","0.70",
"C54","Corpusuteri","7773","[6423.1-9406.7]","5.7","5.3","1.09",
"C70-72","Brain,centralnervoussystem","5964","[4844.3-7342.5]","2.2","2.1","0.30",
"C25","Pancreas","5781","[4385.0-7621.5]","2.1","2.1","0.68",
"C00-06","Lip,oralcavity","5780","[4581.5-7292.0]","2.1","2.0","0.35",
"C32","Larynx","3663","[2624.2-5113.0]","1.3","1.3","0.27",
"C16","Stomach","3484","[2467.2-4919.9]","1.3","1.3","0.37",
"C88+C90","Multiplemyeloma","3151","[2218.1-4476.2]","1.2","1.1","0.24",
"C07-08","Salivaryglands","2666","[1894.4-3751.8]","0.97","0.96","0.17",
"C64-65","Kidney","2394","[1650.8-3471.8]","0.88","0.88","0.14",
"C43","Melanomaofskin","1609","[1005.5-2574.8]","0.59","0.59","0.13",
"C62","Testis","1497","[984.1-2277.2]","1.1","1.1","0.13",
"C09-10","Oropharynx","1482","[928.8-2364.7]","0.54","0.53","0.08",
"C51","Vulva","1328","[855.6-2061.3]","0.98","0.92","0.18",
"C15","Oesophagus","1327","[774.5-2273.6]","0.49","0.49","0.13",
"C81","Hodgkinlymphoma","1188","[740.2-1906.8]","0.43","0.43","0.06",
"C60","Penis","1017","[561.1-1843.4]","0.74","0.74","0.13",
"C23","Gallbladder","657","[306.8-1406.9]","0.24","0.24","0.08",
"C52","Vagina","473","[224.9-994.8]","0.35","0.33","0.05",
"C12-13","Hypopharynx","264","[84.0-829.3]","0.10","0.10","0.02",
"C45","Mesothelioma","231","[72.0-741.5]","0.08","0.08","0.01",
"C46","Kaposisarcoma","108","[18.0-648.8]","0.04","0.04","0.01",
