ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","1084024","Notavailable","162.4","150.1","28.26",
"C50","Breast","158820","Notavailable","47.5","41.2","6.59",
"C33-34","Lung","123221","Notavailable","18.5","17.2","4.64",
"C18-21","Colorectum","106919","Notavailable","16.0","14.8","-",
"C22","Liver","99217","Notavailable","14.9","13.7","3.34",
"C53","Cervixuteri","68558","Notavailable","20.5","17.8","2.66",
"C61","Prostate","41848","Notavailable","12.6","13.5","5.00",
"C16","Stomach","39731","Notavailable","6.0","5.5","1.47",
"C82-86, C96","Non-Hodgkinlymphoma","36991","Notavailable","5.5","5.2","1.00",
"C91-95","Leukaemia","36991","Notavailable","5.5","5.5","0.78",
"C11","Nasopharynx","36697","Notavailable","5.5","5.0","0.75",
"C73","Thyroid","32615","Notavailable","4.9","4.4","0.74",
"C56","Ovary","31138","Notavailable","9.3","8.1","1.35",
"C54","Corpusuteri","25412","Notavailable","7.6","6.6","1.08",
"C67","Bladder","18895","Notavailable","2.8","2.6","0.85",
"C00-06","Lip,oralcavity","18371","Notavailable","2.8","2.5","0.57",
"C70-72","Brain,centralnervoussystem","16628","Notavailable","2.5","2.4","0.38",
"C25","Pancreas","16469","Notavailable","2.5","2.3","0.73",
"C15","Oesophagus","14432","Notavailable","2.2","2.0","0.47",
"C64-65","Kidney","11961","Notavailable","1.8","1.7","0.36",
"C32","Larynx","11387","Notavailable","1.7","1.6","0.38",
"C88+C90","Multiplemyeloma","6894","Notavailable","1.0","0.96","0.24",
"C12-13","Hypopharynx","5231","Notavailable","0.78","0.72","0.16",
"C07-08","Salivaryglands","4842","Notavailable","0.73","0.68","0.12",
"C23","Gallbladder","4680","Notavailable","0.70","0.65","0.22",
"C09-10","Oropharynx","4632","Notavailable","0.69","0.64","0.11",
"C43","Melanomaofskin","3270","Notavailable","0.49","0.46","0.11",
"C81","Hodgkinlymphoma","3197","Notavailable","0.48","0.46","0.06",
"C62","Testis","2855","Notavailable","0.86","0.84","0.10",
"C60","Penis","2791","Notavailable","0.84","0.83","0.19",
"C51","Vulva","2205","Notavailable","0.66","0.57","0.13",
"C52","Vagina","954","Notavailable","0.29","0.25","0.05",
"C45","Mesothelioma","782","Notavailable","0.12","0.11","0.03",
"C46","Kaposisarcoma","411","Notavailable","0.06","0.06","0.02",
